date,time,hostname,tor_version,os_release,kernel,allocator,mem_total_mb,mem_free_mb,mem_available_mb,mem_cached_mb,swap_total_mb,swap_free_mb,tcp_established,tcp_total,fd_limit,relay_count,relay_total_mb,relay_avg_mb
2025-12-25,19:03:49,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,403825,441475,41264,10409,10409,902651,909173,65536,120,359418,2995
2025-12-25,22:45:36,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,193711,232633,42479,10409,10409,911036,917487,65536,120,566061,4717
2025-12-25,22:52:16,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,193566,232495,42484,10409,10409,912335,918705,65536,120,566207,4718
2025-12-26,02:00:08,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,130636,171066,43922,10409,10409,958660,966262,65536,120,627183,5226
2025-12-27,02:00:08,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,62068,103819,44473,10409,10409,909749,932359,65536,120,694306,5785
2025-12-28,02:00:07,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,54991,97112,44719,10409,10409,913487,919595,65536,120,701347,5844
2025-12-29,02:00:08,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,47097,90409,45755,10409,10409,944147,949066,65536,120,705993,5883
2025-12-30,02:00:08,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,36507,80206,46022,10409,10409,994534,994850,65536,120,716856,5973
2025-12-31,02:00:08,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,26039,71475,47544,10409,10409,1000575,1014768,65536,120,727248,6060
2025-12-31,22:18:19,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,331851,382346,51372,10409,10409,824075,835227,65536,180,426442,2369
2026-01-01,02:00:13,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,247939,304636,57329,61609,61609,1037851,1048785,65536,200,503126,2515
2026-01-02,02:00:15,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,786961,46532,118206,71763,61609,61609,1046056,1048123,65536,200,694928,3474
2026-01-03,02:00:17,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,467623,541004,76159,61609,61609,1069449,1099177,65536,200,415018,2075
2026-01-03,21:56:18,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,266115,339061,75478,61609,61609,1090783,1124512,65536,200,594615,2973
2026-01-04,02:00:17,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,227133,303466,78748,61609,61609,1080097,1115741,65536,200,625020,3125
2026-01-04,20:34:38,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,53255,127847,76816,61609,61609,1259701,1298987,65536,200,783841,3919
2026-01-04,22:17:14,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,347510,421693,75522,61609,61609,1157969,1192932,65536,200,522192,2610
2026-01-05,02:00:18,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,221288,297590,77549,61609,61609,1246920,1284222,65536,200,629028,3145
2026-01-05,10:40:34,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,144254,225952,82744,61609,61609,1258657,1314396,65536,200,696507,3482
2026-01-05,10:58:22,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,498612,572836,75945,61609,61609,904068,959475,65536,200,392565,1962
2026-01-06,02:00:17,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,379964,457228,78752,61609,61609,1376522,1399770,65536,200,479077,2395
2026-01-06,20:35:29,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,338916,415786,78064,61609,61609,1621460,1628519,65536,200,517389,2586
2026-01-07,02:00:17,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,333652,409755,77148,61609,61609,1616055,1649182,65536,200,518438,2592
2026-01-07,23:26:26,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,311073,388094,77890,61609,61609,1640118,1690563,65536,200,536028,2680
2026-01-08,02:00:17,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,304493,382499,78853,61609,61609,1534526,1585701,65536,200,539318,2696
2026-01-08,20:47:18,go,0.4.8.21.,Debian GNU/Linux 13 (trixie),6.12.57+deb13-amd64,glibc,983819,296864,370840,74837,61609,61609,1608619,1658883,65536,200,553598,2767
